date,open,high,low,close,volume,dividends,stock splits
2021-09-01,377.5,498.95001220703125,377.5,438.1400146484375,145874,0.0,0.0
2021-09-02,442.95001220703125,444.0,432.95001220703125,438.75,130480,0.0,0.0
2021-09-03,436.04998779296875,446.95001220703125,436.04998779296875,445.5799865722656,77487,0.0,0.0
2021-09-06,449.8900146484375,454.8800048828125,444.5899963378906,445.3299865722656,171916,0.0,0.0
2021-09-07,448.95001220703125,449.94000244140625,427.4599914550781,443.54998779296875,104059,0.0,0.0
2021-09-08,416.8999938964844,447.79998779296875,416.8999938964844,444.7200012207031,84829,0.0,0.0
2021-09-09,454.0,454.0,437.0,447.57000732421875,61012,0.0,0.0
2021-09-13,454.0,454.0,443.04998779296875,449.3900146484375,124366,0.0,0.0
2021-09-14,391.0,453.79998779296875,391.0,450.739990234375,83369,0.0,0.0
2021-09-15,455.95001220703125,455.95001220703125,410.20001220703125,451.8299865722656,57962,0.0,0.0
2021-09-16,454.95001220703125,456.9700012207031,445.0,455.260009765625,81939,0.0,0.0
2021-09-17,463.0,463.0,450.25,452.75,81219,0.0,0.0
2021-09-20,453.95001220703125,454.9700012207031,442.0,444.260009765625,124223,0.0,0.0
2021-09-21,386.5,501.95001220703125,386.5,448.010009765625,89566,0.0,0.0
2021-09-22,451.95001220703125,452.94000244140625,421.1000061035156,450.2200012207031,74592,0.0,0.0
2021-09-23,458.95001220703125,458.95001220703125,450.29998779296875,453.20001220703125,169509,0.0,0.0
2021-09-24,521.2000122070312,521.2000122070312,447.0,451.3399963378906,71876,0.0,0.0
2021-09-27,458.0,458.0,447.0,449.260009765625,80217,0.0,0.0
2021-09-28,454.0,454.0,445.04998779296875,447.44000244140625,111156,0.0,0.0
2021-09-29,514.5999755859375,514.5999755859375,441.04998779296875,444.739990234375,61979,0.0,0.0
2021-09-30,449.0,449.0,436.0,444.2900085449219,212954,0.0,0.0
2021-10-01,447.95001220703125,447.95001220703125,436.04998779296875,443.54998779296875,354479,0.0,0.0
2021-10-04,416.8999938964844,510.04998779296875,416.8999938964844,449.67999267578125,185163,0.0,0.0
2021-10-05,452.95001220703125,454.5,442.04998779296875,453.5899963378906,109878,0.0,0.0
2021-10-06,462.95001220703125,462.95001220703125,447.04998779296875,449.9700012207031,82564,0.0,0.0
2021-10-07,458.95001220703125,458.95001220703125,447.04998779296875,454.30999755859375,69883,0.0,0.0
2021-10-08,461.0400085449219,461.0400085449219,450.3500061035156,453.0799865722656,203870,0.0,0.0
2021-10-11,459.0,459.0,446.04998779296875,454.760009765625,93085,0.0,0.0
2021-10-12,435.3800048828125,459.44000244140625,435.3800048828125,457.9599914550781,62686,0.0,0.0
2021-10-13,462.95001220703125,464.5400085449219,451.04998779296875,462.9599914550781,109295,0.0,0.0
2021-10-14,467.95001220703125,469.8699951171875,463.010009765625,466.8599853515625,84043,0.0,0.0
2021-10-18,406.20001220703125,474.0,406.20001220703125,468.1300048828125,134768,0.0,0.0
2021-10-19,477.0,477.0,455.29998779296875,463.2699890136719,110287,0.0,0.0
2021-10-20,403.0,532.75,403.0,453.3399963378906,118641,0.0,0.0
2021-10-21,462.95001220703125,462.95001220703125,426.1499938964844,450.8800048828125,86335,0.0,0.0
2021-10-22,441.04998779296875,462.8500061035156,441.04998779296875,444.260009765625,97788,0.0,0.0
2021-10-25,449.8999938964844,449.95001220703125,433.55999755859375,440.1700134277344,117354,0.0,0.0
2021-10-26,506.1499938964844,506.1499938964844,436.04998779296875,445.4599914550781,72755,0.0,0.0
2021-10-27,525.5499877929688,525.5499877929688,437.04998779296875,447.7200012207031,60101,0.0,0.0
2021-10-28,453.95001220703125,453.95001220703125,438.0,441.55999755859375,117266,0.0,0.0
2021-10-29,446.95001220703125,446.95001220703125,426.3999938964844,440.75,91245,0.0,0.0
2021-11-01,498.0,498.0,434.0,445.760009765625,133024,0.0,0.0
2021-11-02,454.0,454.0,436.0,447.04998779296875,97970,0.0,0.0
2021-11-03,456.0,456.0,441.04998779296875,448.25,67845,0.0,0.0
2021-11-04,506.5,506.5,421.3999938964844,452.1199951171875,47688,0.0,0.0
2021-11-08,459.0,459.0,443.0,456.8999938964844,104955,0.0,0.0
2021-11-09,463.0,463.0,447.0,459.5299987792969,61996,0.0,0.0
2021-11-10,442.0,487.1000061035156,442.0,460.6499938964844,74090,0.0,0.0
2021-11-11,468.0,468.0,451.0,458.82000732421875,92226,0.0,0.0
2021-11-12,518.5,518.5,431.29998779296875,463.6300048828125,39997,0.0,0.0
